T07,"Teaching staff at the primary, secondary and tertiary levels",,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
419,Latin America & the Caribbean,2005,Pupil-teacher ratio in primary education,23.5291,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
419,Latin America & the Caribbean,2005,Teachers at secondary level (thousands),3470.0666,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
419,Latin America & the Caribbean,2005,Pupil-teacher ratio in secondary education,16.9721,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
419,Latin America & the Caribbean,2005,Teachers at tertiary level (thousands),1225.0668,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
419,Latin America & the Caribbean,2010,Teachers at primary level (thousands),2914.7584,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
419,Latin America & the Caribbean,2010,Pupil-teacher ratio in primary education,23.0606,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
419,Latin America & the Caribbean,2010,Teachers at secondary level (thousands),3548.9687,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
419,Latin America & the Caribbean,2010,Pupil-teacher ratio in secondary education,17.2522,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
419,Latin America & the Caribbean,2010,Teachers at tertiary level (thousands),1677.2443,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
419,Latin America & the Caribbean,2015,Teachers at primary level (thousands),2974.7540,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
419,Latin America & the Caribbean,2015,Pupil-teacher ratio in primary education,21.7210,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
419,Latin America & the Caribbean,2015,Teachers at secondary level (thousands),3905.9132,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
419,Latin America & the Caribbean,2015,Pupil-teacher ratio in secondary education,16.3961,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
419,Latin America & the Caribbean,2015,Teachers at tertiary level (thousands),1823.5894,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
419,Latin America & the Caribbean,2018,Teachers at primary level (thousands),3026.9221,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
419,Latin America & the Caribbean,2018,Pupil-teacher ratio in primary education,21.3018,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
419,Latin America & the Caribbean,2018,Teachers at secondary level (thousands),3856.5396,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
419,Latin America & the Caribbean,2018,Pupil-teacher ratio in secondary education,16.4959,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
419,Latin America & the Caribbean,2018,Teachers at tertiary level (thousands),1901.2377,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
143,Central Asia,2005,Teachers at primary level (thousands),242.4217,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
143,Central Asia,2005,Pupil-teacher ratio in primary education,19.8413,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
143,Central Asia,2005,Teachers at secondary level (thousands),793.0905,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
143,Central Asia,2005,Pupil-teacher ratio in secondary education,11.4021,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
143,Central Asia,2005,Teachers at tertiary level (thousands),102.0038,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
143,Central Asia,2010,Teachers at primary level (thousands),226.2535,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
143,Central Asia,2010,Pupil-teacher ratio in primary education,18.7913,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
143,Central Asia,2010,Teachers at secondary level (thousands),747.3417,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
143,Central Asia,2010,Pupil-teacher ratio in secondary education,11.5133,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
143,Central Asia,2010,Teachers at tertiary level (thousands),113.1154,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
143,Central Asia,2015,Teachers at primary level (thousands),253.0115,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
143,Central Asia,2015,Pupil-teacher ratio in primary education,19.0754,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
143,Central Asia,2015,Teachers at secondary level (thousands),784.3816,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
143,Central Asia,2015,Pupil-teacher ratio in secondary education,10.1676,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
143,Central Asia,2015,Teachers at tertiary level (thousands),116.8980,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
143,Central Asia,2018,Teachers at primary level (thousands),264.3540,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
143,Central Asia,2018,Pupil-teacher ratio in primary education,21.2621,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
143,Central Asia,2018,Teachers at secondary level (thousands),834.8842,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
143,Central Asia,2018,Pupil-teacher ratio in secondary education,9.4310,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
143,Central Asia,2018,Teachers at tertiary level (thousands),107.0520,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
30,Eastern Asia,2005,Teachers at primary level (thousands),6683.2843,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
30,Eastern Asia,2005,Pupil-teacher ratio in primary education,18.9061,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
30,Eastern Asia,2005,Teachers at secondary level (thousands),6499.9850,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
30,Eastern Asia,2005,Pupil-teacher ratio in secondary education,17.7265,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
30,Eastern Asia,2005,Teachers at tertiary level (thousands),2179.4517,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
